Wavenumber,Absorbance
3452.04905,-0.01292
3449.99181,-0.01297
3447.93457,-0.01268
3445.87733,-0.01234
3443.82008,-0.01222
3441.76284,-0.01233
3439.7056,-0.0125
3437.64836,-0.01258
3435.59112,-0.01254
3433.53388,-0.01241
3431.47664,-0.01227
3429.4194,-0.01221
3427.36216,-0.01221
3425.30492,-0.01222
3423.24768,-0.01224
3421.19044,-0.01235
3419.1332,-0.01258
3417.07596,-0.01287
3415.01872,-0.01311
3412.96148,-0.01316
3410.90424,-0.01295
3408.847,-0.01256
3406.78976,-0.01213
3404.73252,-0.01184
3402.67528,-0.0118
3400.61804,-0.01187
3398.5608,-0.0118
3396.50356,-0.0115
3394.44632,-0.0111
3392.38908,-0.01079
3390.33184,-0.01074
3388.2746,-0.0109
3386.21736,-0.01111
3384.16012,-0.01118
3382.10288,-0.01105
3380.04564,-0.01084
3377.9884,-0.01071
3375.93116,-0.01069
3373.87392,-0.01063
3371.81668,-0.01048
3369.75944,-0.0103
3367.7022,-0.01011
3365.64496,-0.00983
3363.58772,-0.00946
3361.53048,-0.00911
3359.47324,-0.00882
3357.416,-0.00846
3355.35876,-0.00794
3353.30152,-0.00731
3351.24428,-0.00659
3349.18704,-0.00576
3347.1298,-0.00487
3345.07256,-0.00405
3343.01532,-0.0034
3340.95808,-0.00292
3338.90084,-0.00257
3336.84359,-0.00225
3334.78635,-0.00173
3332.72911,-0.00085
3330.67187,0.00038
3328.61463,0.00172
3326.55739,0.00292
3324.50015,0.00389
3322.44291,0.00484
3320.38567,0.00603
3318.32843,0.00753
3316.27119,0.00921
3314.21395,0.011
3312.15671,0.01296
3310.09947,0.01507
3308.04223,0.01722
3305.98499,0.01927
3303.92775,0.02123
3301.87051,0.02316
3299.81327,0.02505
3297.75603,0.02677
3295.69879,0.02827
3293.64155,0.02951
3291.58431,0.03033
3289.52707,0.03053
3287.46983,0.02999
3285.41259,0.02874
3283.35535,0.027
3281.29811,0.02508
3279.24087,0.02319
3277.18363,0.02137
3275.12639,0.01956
3273.06915,0.01762
3271.01191,0.01552
3268.95467,0.01336
3266.89743,0.0113
3264.84019,0.00949
3262.78295,0.00804
3260.72571,0.0069
3258.66847,0.00587
3256.61123,0.00471
3254.55399,0.00328
3252.49675,0.00173
3250.43951,0.00036
3248.38227,-0.00062
3246.32503,-0.00124
3244.26779,-0.00166
3242.21055,-0.00201
3240.15331,-0.00244
3238.09607,-0.00306
3236.03883,-0.00383
3233.98159,-0.00449
3231.92434,-0.00483
3229.8671,-0.00491
3227.80986,-0.00499
3225.75262,-0.00524
3223.69538,-0.00562
3221.63814,-0.00602
3219.5809,-0.00632
3217.52366,-0.00644
3215.46642,-0.00644
3213.40918,-0.00641
3211.35194,-0.00634
3209.2947,-0.00619
3207.23746,-0.006
3205.18022,-0.00585
3203.12298,-0.00592
3201.06574,-0.00627
3199.0085,-0.00687
3196.95126,-0.00759
3194.89402,-0.00822
3192.83678,-0.00862
3190.77954,-0.0088
3188.7223,-0.00885
3186.66506,-0.00884
3184.60782,-0.00881
3182.55058,-0.00886
3180.49334,-0.00903
3178.4361,-0.00936
3176.37886,-0.00983
3174.32162,-0.01032
3172.26438,-0.01074
3170.20714,-0.01107
3168.1499,-0.01124
3166.09266,-0.01121
3164.03542,-0.01102
3161.97818,-0.01084
3159.92094,-0.01083
3157.8637,-0.01102
3155.80646,-0.01128
3153.74922,-0.01141
3151.69198,-0.01138
3149.63474,-0.01127
3147.5775,-0.01122
3145.52026,-0.01134
3143.46302,-0.0116
3141.40578,-0.01184
3139.34854,-0.0119
3137.2913,-0.01177
3135.23406,-0.01153
3133.17682,-0.0113
3131.11958,-0.01113
3129.06234,-0.01098
3127.0051,-0.01076
3124.94785,-0.01046
3122.89061,-0.01011
3120.83337,-0.00976
3118.77613,-0.00947
3116.71889,-0.00922
3114.66165,-0.00899
3112.60441,-0.00866
3110.54717,-0.0082
3108.48993,-0.00765
3106.43269,-0.00713
3104.37545,-0.00668
3102.31821,-0.00622
3100.26097,-0.00569
3098.20373,-0.00517
3096.14649,-0.00484
3094.08925,-0.00484
3092.03201,-0.00513
3089.97477,-0.00554
3087.91753,-0.00591
3085.86029,-0.00622
3083.80305,-0.00657
3081.74581,-0.00705
3079.68857,-0.00754
3077.63133,-0.00792
3075.57409,-0.0081
3073.51685,-0.00815
3071.45961,-0.00823
3069.40237,-0.00846
3067.34513,-0.00887
3065.28789,-0.00935
3063.23065,-0.00981
3061.17341,-0.01021
3059.11617,-0.01056
3057.05893,-0.01084
3055.00169,-0.01102
3052.94445,-0.01115
3050.88721,-0.0113
3048.82997,-0.01142
3046.77273,-0.01145
3044.71549,-0.01147
3042.65825,-0.01163
3040.60101,-0.0119
3038.54377,-0.01217
3036.48653,-0.01236
3034.42929,-0.01245
3032.37205,-0.0124
